number,housing_median_age,total_rooms,total_bedrooms,median_income,median_house_value,ocean_proximity
15111,12.0,7320.0,1279.0,4.3952,151700.0,<1H OCEAN
15112,19.0,2121.0,341.0,4.7717,153200.0,<1H OCEAN
15113,16.0,7718.0,1423.0,4.0693,146400.0,<1H OCEAN
15114,18.0,11544.0,1979.0,4.4904,150400.0,<1H OCEAN
15115,23.0,2592.0,414.0,5.4903,151400.0,<1H OCEAN
15116,24.0,1888.0,319.0,5.282,140800.0,<1H OCEAN
15117,14.0,12517.0,2506.0,3.3081,168700.0,<1H OCEAN
15118,31.0,1307.0,435.0,3.4286,129400.0,<1H OCEAN
15119,15.0,3273.0,895.0,2.5388,119000.0,<1H OCEAN
15120,5.0,4116.0,990.0,3.1142,150000.0,<1H OCEAN
15121,31.0,1293.0,232.0,4.7578,161000.0,<1H OCEAN
15122,32.0,1607.0,253.0,4.5278,166300.0,<1H OCEAN
15123,38.0,1701.0,317.0,3.7831,147800.0,<1H OCEAN
15124,9.0,3049.0,471.0,5.0733,196600.0,<1H OCEAN
15125,17.0,5799.0,921.0,5.0524,285400.0,<1H OCEAN
15126,16.0,2502.0,532.0,3.2516,202100.0,<1H OCEAN
15127,16.0,1743.0,333.0,2.8906,158300.0,<1H OCEAN
15128,14.0,3048.0,597.0,4.3818,147100.0,<1H OCEAN
15129,10.0,3699.0,838.0,2.5365,139500.0,<1H OCEAN
15130,15.0,3153.0,628.0,3.6898,131000.0,<1H OCEAN
15131,11.0,2204.0,518.0,2.3693,127000.0,<1H OCEAN
15132,19.0,3038.0,529.0,3.944,172500.0,<1H OCEAN
15133,21.0,1283.0,278.0,2.3203,163500.0,<1H OCEAN
15134,17.0,2492.0,494.0,2.8875,155700.0,<1H OCEAN
15135,23.0,1378.0,269.0,4.0625,145000.0,<1H OCEAN
15136,16.0,4675.0,834.0,4.6674,178000.0,<1H OCEAN
15137,16.0,5203.0,435.0,4.105,174400.0,<1H OCEAN
15138,16.0,2784.0,468.0,4.0048,184600.0,<1H OCEAN
15139,21.0,4152.0,703.0,4.5096,159500.0,<1H OCEAN
15140,15.0,3560.0,593.0,5.1185,185300.0,<1H OCEAN
15141,18.0,3612.0,737.0,2.7069,153800.0,<1H OCEAN
15142,18.0,2515.0,443.0,5.0201,154400.0,<1H OCEAN
15143,18.0,4215.0,810.0,4.0873,146900.0,<1H OCEAN
15144,14.0,1978.0,424.0,3.8073,170100.0,<1H OCEAN
15145,16.0,3047.0,495.0,5.3008,186500.0,<1H OCEAN
15146,29.0,2541.0,381.0,5.2542,227800.0,<1H OCEAN
15147,24.0,2824.0,441.0,5.2614,177200.0,<1H OCEAN
15148,17.0,3722.0,670.0,3.6027,211900.0,<1H OCEAN
15149,19.0,3090.0,552.0,4.0806,189200.0,<1H OCEAN
15150,20.0,1066.0,219.0,3.1607,119300.0,<1H OCEAN
15151,19.0,3558.0,588.0,4.625,211100.0,<1H OCEAN
15152,17.0,3430.0,425.0,10.6186,429300.0,<1H OCEAN
15153,28.0,922.0,107.0,8.4721,342300.0,<1H OCEAN
15154,6.0,6139.0,793.0,7.7569,387400.0,<1H OCEAN
15155,6.0,9518.0,1418.0,6.6012,314900.0,<1H OCEAN
15156,16.0,1332.0,196.0,6.0226,192900.0,<1H OCEAN
15157,16.0,1306.0,196.0,6.2683,180700.0,<1H OCEAN
15158,17.0,9911.0,1436.0,5.5882,194300.0,<1H OCEAN
15159,18.0,3593.0,661.0,4.8295,165800.0,<1H OCEAN
15160,13.0,6711.0,1256.0,4.5746,175700.0,<1H OCEAN
15161,16.0,3936.0,694.0,4.5625,231200.0,<1H OCEAN
15162,16.0,3424.0,698.0,4.121,182100.0,<1H OCEAN
15163,17.0,5509.0,866.0,4.8854,181300.0,<1H OCEAN
15164,25.0,1909.0,334.0,3.7784,160100.0,<1H OCEAN
15165,19.0,4500.0,815.0,4.5032,168900.0,<1H OCEAN
15166,17.0,3039.0,555.0,3.9531,178600.0,<1H OCEAN
15167,17.0,4814.0,1091.0,3.2369,167800.0,<1H OCEAN
15168,24.0,830.0,190.0,1.9176,121100.0,<1H OCEAN
15169,24.0,2618.0,485.0,3.5192,159100.0,<1H OCEAN
15170,25.0,2120.0,381.0,3.1187,169400.0,<1H OCEAN
15171,17.0,2863.0,665.0,2.6048,148200.0,<1H OCEAN
15172,17.0,1785.0,255.0,5.7382,278000.0,<1H OCEAN
15173,29.0,2023.0,309.0,7.0913,265400.0,<1H OCEAN
15174,14.0,6665.0,1231.0,5.09,268500.0,<1H OCEAN
15175,15.0,1095.0,158.0,6.8099,328200.0,<1H OCEAN
15176,10.0,2296.0,450.0,4.3424,160600.0,<1H OCEAN
15177,4.0,2271.0,578.0,3.6437,210100.0,<1H OCEAN
15178,15.0,3023.0,623.0,3.3724,137900.0,<1H OCEAN
15179,17.0,987.0,142.0,5.8747,229300.0,<1H OCEAN
15180,18.0,1339.0,284.0,5.3074,137200.0,<1H OCEAN
15181,17.0,2786.0,396.0,6.4211,220700.0,<1H OCEAN
15182,10.0,2577.0,347.0,6.53,264100.0,<1H OCEAN
15183,4.0,15029.0,2279.0,7.2731,450400.0,NEAR OCEAN
15184,17.0,3167.0,861.0,2.4459,85800.0,<1H OCEAN
15185,7.0,3619.0,770.0,4.1279,167600.0,<1H OCEAN
15186,6.0,7916.0,1293.0,5.6436,278600.0,<1H OCEAN
15187,12.0,1840.0,254.0,6.7769,400000.0,<1H OCEAN
15188,14.0,5180.0,1051.0,4.5,222200.0,<1H OCEAN
15189,16.0,87.0,20.0,4.3571,144600.0,<1H OCEAN
15190,17.0,2635.0,389.0,5.8966,261500.0,<1H OCEAN
15191,18.0,917.0,121.0,6.3517,260100.0,<1H OCEAN
15192,13.0,4595.0,567.0,7.7684,362300.0,<1H OCEAN
15193,16.0,2852.0,435.0,6.3761,296200.0,<1H OCEAN
15194,8.0,3372.0,430.0,8.4284,378300.0,<1H OCEAN
15195,11.0,1412.0,185.0,7.7517,500001.0,<1H OCEAN
15196,9.0,2012.0,316.0,6.5706,255700.0,<1H OCEAN
15197,16.0,2005.0,266.0,7.0546,282200.0,<1H OCEAN
15198,16.0,1989.0,290.0,6.2715,255100.0,<1H OCEAN
15199,16.0,2994.0,445.0,5.149,184300.0,<1H OCEAN
15200,16.0,2043.0,388.0,4.4766,161500.0,<1H OCEAN
15201,15.0,1840.0,235.0,7.5992,310600.0,<1H OCEAN
15202,16.0,1653.0,228.0,6.5853,248400.0,<1H OCEAN
15203,5.0,14944.0,2490.0,6.0857,308300.0,<1H OCEAN
15204,9.0,1547.0,218.0,7.5604,327900.0,<1H OCEAN
15205,5.0,5870.0,977.0,5.1998,294100.0,<1H OCEAN
15206,9.0,2470.0,417.0,4.4219,209200.0,<1H OCEAN
15207,4.0,6242.0,1258.0,4.25,281600.0,<1H OCEAN
15208,4.0,9153.0,1866.0,4.955,241500.0,<1H OCEAN
15209,5.0,5659.0,931.0,6.1949,238700.0,<1H OCEAN
15210,29.0,2175.0,327.0,5.1909,201400.0,<1H OCEAN
15211,18.0,3215.0,588.0,4.6028,216800.0,<1H OCEAN
15212,23.0,1125.0,273.0,2.3182,268800.0,<1H OCEAN
15213,16.0,3050.0,559.0,5.2463,156300.0,<1H OCEAN
15214,9.0,1531.0,242.0,6.0862,263600.0,<1H OCEAN
15215,5.0,15502.0,2613.0,5.9094,261100.0,<1H OCEAN
15216,11.0,4694.0,824.0,4.9485,231800.0,<1H OCEAN
15217,8.0,3670.0,536.0,6.3542,218100.0,<1H OCEAN
15218,15.0,2869.0,405.0,6.0175,238300.0,<1H OCEAN
15219,4.0,9018.0,1572.0,4.988,263700.0,<1H OCEAN
15220,3.0,17466.0,3336.0,5.4584,246500.0,<1H OCEAN
15221,17.0,4754.0,877.0,4.3548,192300.0,<1H OCEAN
15222,6.0,9859.0,1448.0,6.439,296200.0,NEAR OCEAN
15223,16.0,2794.0,476.0,4.3286,213400.0,NEAR OCEAN
15224,14.0,2323.0,373.0,6.2513,240900.0,NEAR OCEAN
15225,11.0,2660.0,352.0,7.6832,319800.0,NEAR OCEAN
15226,15.0,3029.0,555.0,5.3129,169200.0,NEAR OCEAN
15227,11.0,5827.0,882.0,6.4027,344200.0,NEAR OCEAN
15228,5.0,10394.0,1617.0,5.9289,411300.0,NEAR OCEAN
15229,16.0,1988.0,279.0,5.8661,404500.0,NEAR OCEAN
15230,20.0,3370.0,433.0,11.0911,500001.0,NEAR OCEAN
15231,15.0,3540.0,453.0,13.6623,500001.0,NEAR OCEAN
15232,26.0,3194.0,454.0,10.156,500001.0,NEAR OCEAN
15233,18.0,3961.0,511.0,11.1118,500001.0,NEAR OCEAN
15234,25.0,2582.0,495.0,6.4651,500001.0,NEAR OCEAN
15235,36.0,1721.0,264.0,10.1768,500001.0,NEAR OCEAN
15236,34.0,1651.0,273.0,5.6582,500001.0,NEAR OCEAN
15237,29.0,5484.0,1227.0,4.4375,500001.0,NEAR OCEAN
15238,30.0,1226.0,205.0,4.2875,500001.0,NEAR OCEAN
15239,16.0,3892.0,520.0,7.7317,396000.0,NEAR OCEAN
15240,16.0,2512.0,356.0,7.5975,369100.0,NEAR OCEAN
15241,17.0,2718.0,326.0,15.0001,500001.0,NEAR OCEAN
15242,10.0,4926.0,749.0,7.472,439900.0,NEAR OCEAN
15243,14.0,2518.0,458.0,5.8393,485300.0,NEAR OCEAN
15244,31.0,2695.0,491.0,4.7841,393500.0,NEAR OCEAN
15245,36.0,2426.0,454.0,5.1523,387800.0,NEAR OCEAN
15246,30.0,1631.0,310.0,6.8443,492500.0,NEAR OCEAN
15247,16.0,2127.0,512.0,2.7348,231300.0,NEAR OCEAN
15248,21.0,3318.0,578.0,5.5922,382100.0,NEAR OCEAN
15249,12.0,3900.0,977.0,4.125,226900.0,NEAR OCEAN
15250,17.0,2789.0,648.0,4.1012,244700.0,NEAR OCEAN
15251,17.0,1853.0,392.0,5.2742,230700.0,NEAR OCEAN
15252,29.0,3584.0,712.0,4.125,394400.0,NEAR OCEAN
15253,21.0,2736.0,585.0,4.2356,347700.0,NEAR OCEAN
15254,13.0,5723.0,1242.0,4.7179,376700.0,NEAR OCEAN
15255,18.0,2229.0,346.0,6.3525,278300.0,NEAR OCEAN
15256,16.0,3109.0,450.0,6.6319,269600.0,NEAR OCEAN
15257,13.0,3498.0,663.0,3.2119999999999997,147600.0,NEAR OCEAN
15258,6.0,3416.0,493.0,6.9326,324600.0,NEAR OCEAN
15259,25.0,1787.0,311.0,3.9826,215800.0,NEAR OCEAN
15260,16.0,2240.0,443.0,3.5313,148700.0,NEAR OCEAN
15261,9.0,4632.0,759.0,6.3712,369800.0,NEAR OCEAN
15262,19.0,2899.0,499.0,4.87,220900.0,NEAR OCEAN
15263,21.0,2144.0,340.0,5.797999999999999,286100.0,NEAR OCEAN
15264,28.0,1146.0,338.0,3.1667,300000.0,NEAR OCEAN
15265,12.0,4459.0,928.0,3.5179,252700.0,NEAR OCEAN
15266,27.0,1839.0,392.0,3.55,214600.0,NEAR OCEAN
15267,30.0,2750.0,555.0,4.7333,286900.0,NEAR OCEAN
15268,31.0,1171.0,321.0,2.8611,314300.0,NEAR OCEAN
15269,14.0,2670.0,426.0,6.4247,295100.0,NEAR OCEAN
15270,18.0,3225.0,515.0,5.7787,346700.0,NEAR OCEAN
15271,7.0,2949.0,447.0,6.0922,342400.0,NEAR OCEAN
15272,20.0,2110.0,335.0,6.1509,338700.0,NEAR OCEAN
15273,8.0,4172.0,1022.0,4.0118,245800.0,NEAR OCEAN
15274,7.0,3686.0,733.0,3.197,367100.0,NEAR OCEAN
15275,15.0,3333.0,808.0,2.9083,122400.0,NEAR OCEAN
15276,24.0,2628.0,527.0,4.0,343200.0,NEAR OCEAN
15277,17.0,2718.0,518.0,4.3182,357100.0,NEAR OCEAN
15278,21.0,2035.0,534.0,3.2984,369400.0,NEAR OCEAN
15279,29.0,3147.0,765.0,3.5585,284800.0,NEAR OCEAN
15280,24.0,2171.0,511.0,3.194,276300.0,NEAR OCEAN
15281,31.0,2128.0,520.0,4.027,290000.0,NEAR OCEAN
15282,29.0,1797.0,458.0,3.2308,331300.0,NEAR OCEAN
15283,11.0,10923.0,2041.0,4.0791,281300.0,NEAR OCEAN
15284,31.0,2851.0,458.0,4.5694,243700.0,NEAR OCEAN
15285,29.0,3559.0,552.0,4.0585,245500.0,NEAR OCEAN
15286,15.0,13245.0,2212.0,5.4904,262100.0,NEAR OCEAN
15287,25.0,2670.0,527.0,2.7717,354000.0,NEAR OCEAN
15288,15.0,2392.0,446.0,3.5341,500001.0,NEAR OCEAN
15289,4.0,617.0,105.0,3.9205,183000.0,NEAR OCEAN
15290,7.0,7974.0,1703.0,4.1282,188100.0,NEAR OCEAN
15291,4.0,1380.0,322.0,4.7961,168800.0,NEAR OCEAN
15292,6.0,6091.0,1018.0,5.1837,259800.0,NEAR OCEAN
15293,13.0,2644.0,422.0,6.5338,267900.0,NEAR OCEAN
15294,16.0,4595.0,1341.0,2.478,185600.0,NEAR OCEAN
15295,24.0,1006.0,277.0,2.25,187500.0,NEAR OCEAN
15296,19.0,5710.0,1423.0,3.0306,178500.0,NEAR OCEAN
15297,22.0,1331.0,305.0,3.975,500001.0,NEAR OCEAN
15298,10.0,1684.0,515.0,3.7891,206300.0,NEAR OCEAN
15299,17.0,4505.0,1140.0,3.3536,283300.0,NEAR OCEAN
15300,26.0,5550.0,1153.0,2.5509,181800.0,NEAR OCEAN
15301,39.0,1546.0,291.0,2.8893,185400.0,NEAR OCEAN
15302,36.0,1977.0,423.0,3.625,198000.0,NEAR OCEAN
15303,24.0,2046.0,442.0,2.3182,500001.0,NEAR OCEAN
15304,19.0,1931.0,509.0,2.6979,266700.0,NEAR OCEAN
15305,23.0,4104.0,1274.0,1.8214,173800.0,NEAR OCEAN
15306,33.0,2205.0,453.0,2.8819,208600.0,NEAR OCEAN
15307,18.0,975.0,382.0,1.9562,192500.0,NEAR OCEAN
15308,38.0,861.0,213.0,4.1875,185000.0,NEAR OCEAN
15309,35.0,928.0,264.0,2.4583,197900.0,NEAR OCEAN
15310,14.0,5039.0,1373.0,3.2089999999999996,313300.0,NEAR OCEAN
15311,26.0,4123.0,1145.0,1.9891,500000.0,NEAR OCEAN
15312,17.0,1877.0,581.0,1.9386,106300.0,NEAR OCEAN
15313,19.0,928.0,317.0,1.6318,187500.0,NEAR OCEAN
15314,17.0,353.0,112.0,1.5625,162500.0,NEAR OCEAN
15315,26.0,1427.0,386.0,1.3903,184400.0,NEAR OCEAN
15316,19.0,1926.0,557.0,1.3269,166100.0,NEAR OCEAN
15317,19.0,2129.0,562.0,2.9539,169900.0,NEAR OCEAN
15318,26.0,2447.0,482.0,3.2917,150800.0,NEAR OCEAN
15319,23.0,3297.0,728.0,2.5754,169700.0,NEAR OCEAN
15320,24.0,1586.0,262.0,4.25,150300.0,NEAR OCEAN
15321,23.0,2062.0,376.0,4.0109,145700.0,NEAR OCEAN
15322,32.0,1251.0,220.0,3.9875,142900.0,NEAR OCEAN
15323,12.0,5963.0,1372.0,2.7386,216100.0,NEAR OCEAN
15324,28.0,2823.0,476.0,5.1733,198100.0,NEAR OCEAN
15325,23.0,3546.0,553.0,5.276,224500.0,NEAR OCEAN
15326,15.0,3672.0,845.0,2.9716,173600.0,NEAR OCEAN
15327,19.0,3575.0,525.0,5.7409,274100.0,NEAR OCEAN
15328,5.0,3109.0,634.0,3.1875,153800.0,<1H OCEAN
15329,13.0,3619.0,791.0,2.765,98500.0,<1H OCEAN
15330,24.0,2580.0,604.0,1.6402,169300.0,NEAR OCEAN
15331,6.0,1580.0,288.0,4.0469,162400.0,<1H OCEAN
15332,15.0,4784.0,1039.0,2.4375,108900.0,NEAR OCEAN
15333,21.0,2868.0,602.0,2.7846,91200.0,NEAR OCEAN
15334,29.0,1057.0,232.0,2.7417,91700.0,NEAR OCEAN
15335,17.0,1246.0,300.0,2.2882,85800.0,NEAR OCEAN
15336,4.0,14960.0,2988.0,3.7568,184100.0,NEAR OCEAN
15337,11.0,20944.0,3753.0,4.3762,215500.0,NEAR OCEAN
15338,16.0,2150.0,461.0,2.4754,157300.0,NEAR OCEAN
15339,16.0,1835.0,430.0,2.0147,87700.0,NEAR OCEAN
15340,18.0,6235.0,1233.0,3.0704,151600.0,NEAR OCEAN
15341,20.0,4835.0,854.0,4.3428,152100.0,NEAR OCEAN
15342,35.0,2204.0,482.0,3.676,125600.0,NEAR OCEAN
15343,4.0,1837.0,287.0,3.8958,189800.0,NEAR OCEAN
15344,18.0,2971.0,606.0,2.675,117100.0,NEAR OCEAN
15345,31.0,1502.0,367.0,2.6442,103300.0,NEAR OCEAN
15346,29.0,1315.0,311.0,2.0272,99600.0,NEAR OCEAN
15347,13.0,6131.0,1040.0,3.8156,150700.0,<1H OCEAN
15348,14.0,2513.0,351.0,6.3054,359000.0,<1H OCEAN
15349,29.0,4609.0,798.0,4.3429,173900.0,<1H OCEAN
15350,23.0,1678.0,275.0,4.1713,133800.0,<1H OCEAN
15351,22.0,2329.0,419.0,3.7933,131000.0,<1H OCEAN
15352,14.0,3483.0,764.0,3.125,102300.0,<1H OCEAN
15353,13.0,3075.0,630.0,2.8558,97100.0,<1H OCEAN
15354,7.0,2499.0,420.0,4.85,186900.0,<1H OCEAN
15355,7.0,8206.0,1523.0,3.6301,170900.0,<1H OCEAN
15356,11.0,3737.0,757.0,3.1062,141000.0,NEAR OCEAN
15357,15.0,2919.0,592.0,2.5872,155600.0,NEAR OCEAN
15358,15.0,1905.0,416.0,3.33,127900.0,NEAR OCEAN
15359,13.0,4543.0,881.0,2.9386,143400.0,NEAR OCEAN
15360,14.0,25135.0,4819.0,2.5729,134400.0,<1H OCEAN
15361,17.0,2866.0,442.0,4.5764,257300.0,<1H OCEAN
15362,16.0,3165.0,482.0,4.605,263300.0,<1H OCEAN
15363,12.0,2924.0,433.0,6.2475,331300.0,<1H OCEAN
15364,10.0,5294.0,817.0,5.4563,325700.0,<1H OCEAN
15365,15.0,3310.0,488.0,6.1009,314400.0,<1H OCEAN
15366,15.0,3313.0,679.0,2.7986,189900.0,<1H OCEAN
15367,12.0,6358.0,1182.0,4.0357,295900.0,<1H OCEAN
15368,16.0,1921.0,312.0,5.1786,376800.0,<1H OCEAN
15369,16.0,3536.0,765.0,3.0,146700.0,<1H OCEAN
15370,16.0,2704.0,463.0,3.7857,227000.0,<1H OCEAN
15371,18.0,3339.0,704.0,2.8393,173200.0,<1H OCEAN
15372,16.0,2792.0,525.0,3.668,171200.0,<1H OCEAN
15373,17.0,1614.0,431.0,2.0956,134400.0,<1H OCEAN
15374,22.0,2699.0,543.0,2.375,137300.0,<1H OCEAN
15375,7.0,2221.0,548.0,2.2368,154600.0,<1H OCEAN
15376,8.0,1755.0,530.0,1.995,146900.0,<1H OCEAN
15377,14.0,4687.0,793.0,4.5391,180900.0,<1H OCEAN
15378,11.0,2786.0,480.0,4.5,222600.0,<1H OCEAN
15379,6.0,3725.0,960.0,2.3214,247000.0,<1H OCEAN
15380,14.0,1902.0,338.0,5.5395,273300.0,<1H OCEAN
15381,16.0,3031.0,554.0,4.0882,296100.0,<1H OCEAN
15382,29.0,2889.0,587.0,3.8547,208300.0,<1H OCEAN
15383,14.0,5392.0,821.0,5.0507,291500.0,<1H OCEAN
15384,19.0,3518.0,658.0,3.2614,168800.0,<1H OCEAN
15385,16.0,2921.0,639.0,2.2393,117000.0,<1H OCEAN
15386,14.0,1088.0,209.0,3.8438,243800.0,<1H OCEAN
15387,17.0,1800.0,312.0,7.0177,267600.0,<1H OCEAN
15388,14.0,3103.0,569.0,3.7644,264700.0,<1H OCEAN
15389,11.0,3016.0,601.0,4.9375,232800.0,<1H OCEAN
15390,17.0,2073.0,313.0,8.2531,419200.0,<1H OCEAN
15391,12.0,5898.0,1002.0,4.7647,254100.0,<1H OCEAN
15392,17.0,2980.0,539.0,3.1553,250000.0,<1H OCEAN
