,Название,Регион,Город,Район,Адрес,Индекс,Телефон,Мобильный телефон,Email,Email с сайта,Сайт,Рубрика,Подрубрика,Способы оплаты,vkontakte,twitter,facebook,skype,icq,odnoklassniki,youtube,instagram,latitude,longitude,coordinates,date_start_statistic,status,category,revenue,dist_to_closest_conquer,dist_to_closer_metro,metro_name,close_metro_coords,closer_metro_area,closer_metro_area_densyty,dist_to_closer_ostanovk,ostanovka_transp,ostanovka_coord,square,chisl,количество жителей в радиусе до конкурента методом домов,количество жителей в радиусе 2 км методом домов,население на 1 конкурента в радиусе 2 км методом по домам,количество конкурентов в радиусе 2 км,население на 1 конкурента в радиусе 2 км методом плотности,колич крупн торгово-офисн центр рядом,dist_to_conquer_aprise,dist_to_closer_metro_aprise,chisl_apprise,dist_to_close_ost_apr,среднее расстояние до метро по действ точкам,среднее расстояние до конкурента по действ точкам,среднея численность в радиусе до конкурента по действ точкам,rating,площадь объекта,coords,Класс:
10,"Citydent, стоматологический центр",Московская область,Москва,Черёмушки район,"Новочерёмушкинская, 57",117418.0,"7 (495) 331-02-40, 7 (495) 332-66-64",,,reception@city-denta.ru,http://www.city-denta.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,,55.670102,37.567503,"[55.670102, 37.567503]",09.02.2020,old,midle,39 001 тыс. руб. в год,101.78176162190678,818.6358950694466,Новые Черёмушки,"[55.670077, 37.554493]",Черемушки,19845.0,114.78287105877693,23-й кв. Новых Черемушек (пос.),"[55.6692933, 37.56637159]",32528.914776416183,645.5363137379792,8261.122388059703,388556.1850746269,5550.802643923241,70.0,115.8276585792717,1.0,,,,,,,,,,,
11,"Дентал Арт, стоматологическая клиника",Московская область,Москва,,"Дружинниковская, 15",123242.0,"7 (495) 790-76-39, 7 (499) 116-78-48, 7 (495) 106-22-44",,,info@dentalart.ru,http://www.dentalart.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",https://vk.com/dentalartclinica,,https://facebook.com/dentalart2015,,,,,,55.759574,37.574279,"[55.759574, 37.574279]",09.02.2020,old,midle,376 454 тыс. руб. в год,287.3992273139467,197.25873558889006,Краснопресненская,"[55.760211, 37.577211]",Пресненский,10894.0,165.57914104887237,Метро Краснопресненская (пос.),"[55.75917284, 37.57681869]",259358.71180245237,2825.453806375916,2027.489552238806,167966.0776119403,1174.5879553282539,143.0,248.16573292364683,2.0,,,,,,,,,,,
12,"DentBerg, сеть стоматологических клиник",Московская область,Москва,Марьино район,"Новочеркасский бульвар, 55",109369.0,"7 (495) 349-20-50, 7 (495) 348-74-79, 7 (495) 349-75-65",,,dentberg-kl@yandex.ru,http://www.dentberg.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",https://vk.com/dentberg,,,,,,,,55.649396,37.74213,"[55.649396, 37.74213]",09.02.2020,old,midle,459 608 тыс. руб. в год,179.37916467507583,125.19624095161272,Марьино,"[55.649368, 37.744118]",Марьино,21319.0,112.89041037317425,Метро Марьино (южн.),"[55.64925692, 37.7439062]",101035.41801931785,2153.974076753837,5853.8328358208955,396216.4298507463,6603.607164179105,60.0,450.89857340046984,0.0,,,,,,,,,,,
13,"DentoClinic, стоматологическая клиника",Московская область,Москва,Орехово-Борисово Южное район,"Каширское шоссе, 108 к1",115582.0,"7 (495) 391-70-01, 7 (499) 218-33-18",,,"admin@foxxy.ru,  profactor@yandex.ru",http://www.dentoclinic.ru,Медицинские услуги,Стоматологические центры,Наличный расчёт,,,,,,,,,55.60958,37.716547,"[55.60958, 37.716547]",09.02.2020,old,midle,484 037 тыс. руб. в год,417.98731467068455,150.9623258334642,Домодедовская,"[55.610697, 37.717905]",Орехово-Борисово Южное,21284.0,76.39590028765953,Метро Домодедовская,"[55.60925875, 37.71761818]",548600.061008415,11676.403698503103,3949.1641791044776,383528.0865671642,9588.202164179105,40.0,3666.3907613299743,3.0,,,,,,,,,,,
14,"Dentown, стоматологический центр",Московская область,Москва,Марьино район,"Братиславская, 23",109469.0,7 (495) 346-99-66,,,dentown@mail.ru,http://www.dentown.com,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",,,,,,,,,55.656069,37.764162,"[55.656069, 37.764162]",09.02.2020,old,midle,60 260 тыс. руб. в год,33.55507964978167,938.3474156214825,Братиславская,"[55.65946, 37.750514]",Марьино,21319.0,81.23016765434157,Центр социальной защиты,"[55.65679807, 37.76421107]",3535.4621827520223,75.37251827409037,7803.850746268657,385179.5552238806,5205.1291246470355,74.0,12.792957155710473,0.0,,,,,,,,,,,
15,"Din clinic, стоматологический центр",Московская область,Москва,Головинский район,"Ленинградское шоссе, 88",125565.0,7 (495) 452-97-80,,,,,Медицинские услуги,Стоматологические центры,Наличный расчёт,,,,,,,,,55.849323,37.475392,"[55.849323, 37.475392]",09.02.2020,old,midle,61 799 тыс. руб. в год,370.4534665730162,622.1593470102121,Речной вокзал,"[55.854891, 37.476231]",Левобережный,6744.0,49.02193004788769,Флотская ул.,"[55.84894541, 37.47498945]",430920.3206133296,2906.126642216295,2171.0955223880596,199393.1104477612,5696.946012793177,35.0,1042.8843036067617,0.0,,,,,,,,,,,
16,"DL-стоматология, стоматологическая клиника",Московская область,Москва,Хамовники район,"Фрунзенская 3-я, 1",119270.0,7 (499) 242-12-12,,,info-dlst@mail.ru,http://www.dlstom.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,https://twitter.com/@dlstom_ru,,,,,,https://instagram.com/dl_stomatology,55.71985,37.580114,"[55.71985, 37.580114]",09.02.2020,old,midle,214 061 тыс. руб. в год,26.928327320619708,821.9982126926864,Фрунзенская,"[55.727232, 37.580328]",Хамовники,10790.0,186.98040143159318,3-я Фрунзенская ул.,"[55.71877848, 37.58240501]",2276.923310579402,24.568002521151747,4105.997014925373,131227.51343283584,1581.0543787088654,83.0,3.7177603815140476,1.0,,,,,,,,,,,
17,"Дентал Мир, стоматологическая клиника",Московская область,Москва,Южнопортовый район,"Кожуховская 6-я, 3 к1",115193.0,7 (495) 180-04-80,,,spb4567207@mail.ru,http://dentalmir.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк, Оплата через Интернет",https://vk.com/dentalmir,,https://facebook.com/dentalmir.ru,,,,https://youtube.com/channel/UCMqsrJNR8dPSPFl-kfhodLA,https://instagram.com/dentalmir.ru,55.70728,37.669943,"[55.70728, 37.669943]",09.02.2020,old,midle,5 490 тыс. руб. в год,142.71520300687936,816.3211469265901,Автозаводская,"[55.706634, 37.657008]",Даниловский,7414.0,86.87026690602659,6-я Кожуховская ул.,"[55.70692484, 37.67117342]",63954.35559158564,474.1575923560159,6212.84776119403,148414.88059701494,3226.410447761194,46.0,129.4656382606861,1.0,,,,,,,,,,,
18,"Элит-Дента, стоматологический центр",Московская область,Москва,Красносельский район,"Астраханский переулок, 10/36 ст1",129090.0,"7 (495) 680-01-09, 7 (495) 680-18-09",,,info@elite-denta.ru,http://www.elite-denta.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",,,,,,,,,55.778848,37.641347,"[55.778848, 37.641347]",09.02.2020,old,midle,349 561 тыс. руб. в год,242.8944853374105,502.2656511896909,Проспект Мира,"[55.779631, 37.633464]",Мещанский,13213.0,97.96856131324527,Астраханский пер.,"[55.77959408, 37.64217475]",185252.87536300212,2447.746242171347,2556.5641791044777,145435.05671641792,989.3541273225708,147.0,209.14076735831372,3.0,,,,,,,,,,,
19,"DentBerg, сеть стоматологических клиник",Московская область,Москва,Чертаново Северное район,"Кировоградская, 9 к2",117587.0,"7 (495) 315-94-62, 7 (495) 315-16-46",,,dentberg-kl@yandex.ru,http://www.dentberg.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",https://vk.com/dentberg,,,,,,,,55.623842,37.61108,"[55.623842, 37.61108]",09.02.2020,old,midle,395 423 тыс. руб. в год,400.01060769298795,202.2555084848908,Южная,"[55.622436, 37.609047]",Чертаново Северное,21205.0,90.2869897371932,Метро Южная,"[55.6237748469, 37.6096517379]",502426.64687810844,10653.95704705029,2239.119402985075,171930.35820895524,7475.232965606749,23.0,5817.986978737027,3.0,,,,,,,,,,,
20,"Евромед С, многопрофильный медицинский центр",Московская область,Москва,Марьино район,"Перервинский бульвар, 21 к1",109469.0,7 (495) 654-66-61,7-965-110-49-99,,,http://www.euromeds.ru,Медицинские услуги,"Диагностические центры, Лечение ЛОР-заболеваний, Медицинские анализы, Многопрофильные медицинские центры, Стоматологические центры, Услуги гинеколога, Услуги дерматовенеролога, Услуги кардиолога, Услуги невролога, Услуги проктолога, Услуги терапевта, Услуги уролога / андролога","Расчёт по картам, Наличный расчёт",,,,,,,,,55.65673,37.773654,"[55.65673, 37.773654]",09.02.2020,old,midle,214 701 тыс. руб. в год,28.289036797139214,1487.8652022836648,Братиславская,"[55.65946, 37.750514]",Марьино,21319.0,99.90211646813158,"Перервинский бульв., 21","[55.65659395, 37.77208521]",2512.846553137075,53.571375666329295,7182.188059701492,337965.31343283586,4898.048020765737,69.0,9.751543164769506,0.0,,,,,,,,,,,
21,French Dental Clinic,Московская область,Москва,,"Звенигородская 2-я, 13 ст41",123022.0,"7 (495) 707-23-23, 7 (495) 234-58-58",,,recept@fdc-vip.ru,http://www.fdc-vip.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,https://instagram.com/fdcvip,55.761245,37.552668,"[55.761245, 37.552668]",09.02.2020,old,midle,184 022 тыс. руб. в год,167.6510570816715,644.5386472351508,Улица 1905 года,"[55.764273, 37.561419]",Пресненский,10894.0,303.24529471874934,Ул. Анны Северьяновой,"[55.75853807, 37.55213345]",88255.59359348987,961.4564366074787,1048.7014925373135,133436.4,1466.334065934066,91.0,132.70211916252674,3.0,,,,,,,,,,,
22,"German Dental Center, немецкий стоматологический центр",Московская область,Москва,Лефортово район,"Волочаевская, 2 к1",111033.0,"7 (495) 737-44-66, 7 (499) 116-78-48",,,"info@gdmc.ru,  uprav@77rospotrebnadzor.ru,  gorchakova-elena@inbox.ru",http://www.gdmc.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,https://facebook.com/gdmc.ru,,,,,,55.758238,37.685445,"[55.758238, 37.685445]",09.02.2020,old,midle,8 637 тыс. руб. в год,452.42240652905735,1285.2296138310026,Площадь Ильича,"[55.747024, 37.680589]",Таганский,15099.0,36.55884333793046,Красноказарменная пл.,"[55.7579441, 37.68518531]",642714.146538767,9704.340898588844,2497.9880597014926,186763.3432835821,2630.4696237124235,71.0,1716.7115730461392,0.0,,,,,,,,,,,
23,"Антипа-Б, стоматологическая клиника",Московская область,Москва,Беговой район,"Нижняя Масловка, 5",127015.0,7 (495) 613-62-60,7-916-348-34-88,,,,Медицинские услуги,Стоматологические центры,Наличный расчёт,,,,,,,,,55.791753,37.584155,"[55.791753, 37.584155]",09.02.2020,old,midle,122 978 тыс. руб. в год,312.6349361639254,312.4704755541164,Савёловская,"[55.793313, 37.588296]",Савёловский,21920.0,81.01678355141769,Вятская ул.,"[55.79173869, 37.58286369]",306905.49439409614,6727.368437118587,2074.7283582089553,259981.60298507463,2321.2643123667376,112.0,754.4263175911558,7.0,,,,,,,,,,,
24,"Malbret, стоматологическая клиника",Московская область,Москва,Ростокино район,"Бажова, 7",129128.0,7 (499) 187-46-18,,,malbret1407@yandex.ru,http://www.malbret.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",https://vk.com/klinika_malbret,,,,,,https://youtube.com/channel/UCTtuHX7SOeS3RbmrOjosf6A,https://instagram.com/stomatology.malbret,55.834581,37.660744,"[55.834581, 37.660744]",09.02.2020,old,midle,286 299 тыс. руб. в год,176.04734077793074,1818.7703882527996,Ботанический сад,"[55.844597, 37.637811]",Ростокино,11132.0,49.15112764807426,Детский театр,"[55.83419416, 37.66112193]",97316.97185223996,1083.3325306591353,4141.898507462687,123185.57910447761,8798.969936034115,14.0,971.9040417913385,0.0,,,,,,,,,,,
25,"Natadent, стоматологический центр",Московская область,Москва,Аэропорт район,"Пилота Нестерова, 9",125167.0,"7 (495) 612-24-81, 7 (495) 613-80-12, 7 (495) 612-00-51, 7 (495) 241-54-32",,,"mail@natadent.ru,  attachments_ovevgenii@yandex.ru_2017-08-10_12-33-44.zip",http://www.natadent.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",,,https://facebook.com/natadentru,,,,,https://instagram.com/natadent_ru,55.796422,37.546793,"[55.796422, 37.546793]",09.02.2020,old,midle,446 635 тыс. руб. в год,152.23914337273735,972.2108675495945,Аэропорт,"[55.800261, 37.53287]",Аэропорт,17313.0,158.51887816974568,Ул. Пилота Нестерова,"[55.79712623, 37.54898959]",72775.01627307571,1259.9538567357597,916.4328358208955,237958.87164179105,3131.0377847604086,76.0,208.22395316580452,3.0,,,,,,,,,,,
26,"Просмайл.РУ, стоматологическая клиника",Московская область,Москва,Кунцево район,"Партизанская, 24",121351.0,7 (495) 120-66-00,,,"pro-smile@mail.ru,  prosmile-adm@mail.ru",http://www.prosmile.ru,Медицинские услуги,Стоматологические центры,"Наличный расчёт, Оплата через банк, Оплата через Интернет",,,https://facebook.com/clinicprosmile,,,,,https://instagram.com/prosmile.ru,55.735575,37.413625,"[55.735575, 37.413625]",09.02.2020,old,midle,254 963 тыс. руб. в год,50.61519151464249,628.837036256103,Молодёжная,"[55.741004, 37.416386]",Кунцева,9144.0,106.51870686017467,Дом культуры,"[55.73607064, 37.41217461]",8044.358501880763,73.5576141411977,4330.8537313432835,286278.5014925373,7156.962537313433,40.0,23.097090840336083,1.0,,,,,,,,,,,
27,"Sanitas, стоматологическая клиника",Московская область,Москва,Замоскворечье район,"Голиковский переулок, 5",119017.0,"7 (495) 953-60-50, 7 (495) 953-60-47",,,"sanitas@bk.ru,  inhosin@hotmail.com",http://www.sanitas-dent.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,https://instagram.com/sanitasdent,55.740182,37.627256,"[55.740182, 37.627256]",09.02.2020,old,midle,16 473 тыс. руб. в год,188.36257928738152,81.5231700501006,Третьяковская,"[55.740319, 37.625981]",Замосковречье,13573.0,134.22265130613627,Стар. Толмачевский пер.,"[55.7392087, 37.62851694]",111408.64840599659,1512.1495848145917,1876.3253731343284,206768.0328358209,1752.2714647103467,118.0,160.95422699382434,9.0,,,,,,,,,,,
28,"Spectra, сеть стоматологических клиник",Московская область,Москва,Савёловский район,"Верхняя Масловка, 10 ст4",127083.0,"7 (495) 614-71-10, 7 (495) 502-62-25",,,"5588e3adb3e545248e893d6f2fc41ba2@wwwb-sentry.us.archive.org,  info@archive.org,  footage@archive.org,  jscott@archive.org,  etree@archive.org",,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,,55.793301,37.565599,"[55.793301, 37.565599]",09.02.2020,old,midle,144 597 тыс. руб. в год,147.369942522239,612.4554331730182,Динамо,"[55.789704, 37.558212]",Аэропорт,17313.0,190.6827786702083,"Ул. Верхн. Масловка, 15","[55.79425154, 37.5630702]",68194.2058712852,1180.6462862495605,5441.9104477611945,254955.39402985075,3492.539644244531,73.0,203.1358541821162,3.0,,,,,,,,,,,
29,"Кариесу.НЕТ, сеть стоматологических клиник",Московская область,Москва,Южное Медведково район,"Шокальского проезд, 11",127221.0,7 (495) 032-22-80,,,"user@mail.com,  doctor@kariesy.net",http://kariesy.net,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",https://vk.com/kariesynet,,https://facebook.com/kariesynet,,,,https://youtube.com/channel/UCMZGJZ8HY-q22g0wifcJi3A,https://instagram.com/kariesynet,55.875596,37.644647,"[55.875596, 37.644647]",09.02.2020,old,midle,423 221 тыс. руб. в год,285.3167566850616,1405.1217393495776,Бабушкинская,"[55.869794, 37.664581]",Бабушкинский,17415.0,78.48534444506302,Медведковский ЗАГС,"[55.8762201125, 37.6452299306]",255613.7461661875,4451.513389484156,4345.9701492537315,334292.02388059703,9034.91956434046,37.0,1511.1083289708379,0.0,,,,,,,,,,,
30,"Кариесу.НЕТ, сеть стоматологических клиник",Московская область,Москва,Северное Медведково район,"Шокальского проезд, 20",127642.0,7 (495) 032-22-80,,,"user@mail.com,  doctor@kariesy.net",http://kariesy.net,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт",https://vk.com/kariesynet,,https://facebook.com/kariesynet,,,,https://youtube.com/channel/UCMZGJZ8HY-q22g0wifcJi3A,https://instagram.com/kariesynet,55.87918,37.645849,"[55.87918, 37.645849]",09.02.2020,old,midle,266 076 тыс. руб. в год,194.32415498442722,1347.290004907998,Медведково,"[55.887473, 37.661527]",Северное Медведково,22518.0,47.8719647473468,Раёво,"[55.879463014682806, 37.645273180658826]",118572.29444069271,2670.0109262155183,8278.128358208956,343150.2447761194,9274.330939895119,37.0,906.3604657639705,0.0,,,,,,,,,,,
31,"US Dental Care, стоматологический центр",Московская область,Москва,Мещанский район,"Олимпийский проспект, 16 ст5",129110.0,7 (495) 933-86-86,,,marketing@usdentalcare.com,http://usdentalcare.com,"Красота / Здоровье, Медицинские услуги","Стоматологические центры, Услуги косметолога","Расчёт по картам, Наличный расчёт, Оплата через банк",,,https://facebook.com/pages/us-dental-care/311232498985641,,,,,https://instagram.com/usdentalcare,55.784018,37.623692,"[55.784018, 37.623692]",09.02.2020,old,expensive,317 619 тыс. руб. в год,256.0361622532185,629.8916987057524,Достоевская,"[55.781484, 37.614716]",Тверской,10660.0,173.13471652048847,Дом Ветеранов войны,"[55.785304614, 37.6221421125]",205841.1814374592,2194.266994123315,0.0,190880.6776119403,1239.484919558054,154.0,178.96099640382363,1.0,,,,,,,,,,,
32,"Вейлаком, стоматологическая клиника",Московская область,Москва,Крылатское район,"Осенний бульвар, 5 к1",121609.0,"7 (495) 413-30-32, 7 (495) 416-17-41",,,welcome-clinic@mail.ru,http://www.welcome-clinic.ru,Медицинские услуги,Стоматологические центры,Наличный расчёт,,,,,,,,,55.756507,37.407315,"[55.756507, 37.407315]",09.02.2020,old,midle,204 020 тыс. руб. в год,351.0185340344949,63.77749888134887,Крылатское,"[55.756842, 37.408139]",Крылатское,6860.0,106.4069457281183,Метро Крылатское,"[55.75606111, 37.40881403]",386891.9952801792,2654.0790876220294,0.0,124504.48656716419,5928.785074626866,21.0,1587.3920638348902,0.0,,,,,,,,,,,
33,"А.М.Дент, стоматологическая клиника",Московская область,Москва,Ховрино район,"Лавочкина, 34",125581.0,7 (495) 120-30-58,,,a.m.dent@mail.ru,http://www.am-dent.ru,Медицинские услуги,Стоматологические центры,"Расчёт по картам, Наличный расчёт, Оплата через банк",,,,,,,,,55.856356,37.493394,"[55.856356, 37.493394]",09.02.2020,old,midle,142 771 тыс. руб. в год,114.00755428177422,1087.1418688642748,Речной вокзал,"[55.854891, 37.476231]",Левобережный,6744.0,159.8714137797019,Дворец спорта Динамо,"[55.85677782, 37.49583425]",40812.848440598726,275.24184988339783,0.0,286731.99402985076,7749.513352158129,37.0,93.43344958203993,1.0,,,,,,,,,,,
